TILENAME,RA_CENT,DEC_CENT
DES2045-0124,311.41941500,-1.41114800
DES2138-0750,324.72267500,-7.83614800
DES0134+1126,23.52513800,11.43885200
DES2108-0207,317.14846700,-2.12503700
DES2125-0958,321.39058200,-9.97781500
DES0420-1124,65.02381700,-11.40559300
DES0548-1541,87.03142600,-15.68892600
DES0204+0835,31.23803300,8.58329600
DES0208+1417,32.13490500,14.29440700
DES0320+0252,50.09474700,2.87218500
DES2225+0209,336.43806800,2.15829600
DES2033-1458,308.25440100,-14.97503700
DES2207-1207,331.95273000,-12.11948100
DES0631-2541,97.98690400,-25.68337000
DES0024-2332,6.10796600,-23.54170400
DES2219-2124,334.80669300,-21.40003700
DES0800-5622,120.00932300,-56.38059300
DES1628-6456,247.11755000,-64.94725900
DES2025-2749,306.48169900,-27.82503700
DES1249-8511,192.48806200,-85.18337000
DES0646-4457,101.63877300,-44.95837000
DES0615-7039,93.90307000,-70.65837000
DES0913-6248,138.37754400,-62.80559300
DES2314-3123,348.59672300,-31.39448100
DES0034-7824,8.70913600,-78.41114800
DES0745-7824,116.30089900,-78.41114800
DES2005-1332,301.43554800,-13.54725900
DES2109-1624,317.41810800,-16.40281500
DES2354-1707,358.66115900,-17.11670400
DES0556-2124,89.05273800,-21.40003700
DES0646-3123,101.50072000,-31.39448100
DES1723-5331,260.85319900,-53.52503700
DES2356-2332,359.09966400,-23.54170400
DES0834-7205,128.52578000,-72.08614800
DES2259-2124,344.77446900,-21.40003700
DES1804-8153,271.15687100,-81.89725900
DES2156-3749,329.22309500,-37.81948100
DES1817-5457,274.27458800,-54.95281500
DES2013-4706,303.31562500,-47.10003700
DES2101-1958,315.25728800,-19.97225900
DES2350-1624,357.60364800,-16.40281500
DES2355-1207,358.96875000,-12.11948100
DES0816-7039,124.07947300,-70.65837000
DES1750-5040,267.55532000,-50.66948100
DES0309-7205,47.29319200,-72.08614800
DES1932-5622,293.05119600,-56.38059300
DES0141-7413,25.29830300,-74.22781500
DES1737-5457,264.32927300,-54.95281500
DES0111-7122,17.80837900,-71.37225900
DES1951-3206,297.75563300,-32.10837000
DES0712-5705,108.17178300,-57.09448100
DES0435-7413,68.90455600,-74.22781500
DES0404-7413,61.20933500,-74.22781500
DES0126-7537,21.69740500,-75.62225900
DES0633-7122,98.26702200,-71.37225900
DES0509-7906,77.35717800,-79.10837000
DES2349-1541,357.30815900,-15.68892600
DES2007-2124,301.83635800,-21.40003700
DES2149-2206,327.39909400,-22.11392600
DES2249-2706,342.36889800,-27.11114800
DES0822-8628,125.69978700,-86.47781500
DES1446-8153,221.69067500,-81.89725900
DES2134-8353,323.63765900,-83.88892600
DES1953-3706,298.27342400,-37.10559300
DES2306-3706,346.61044000,-37.10559300
DES0806-5914,121.55973300,-59.23614800
DES0019-6705,4.85450800,-67.08892600
