TILENAME,RA_CENT,DEC_CENT
DES0809+2834,122.28604500,28.57218500
DES1217-2706,184.47547000,-27.11114800
DES1400-5040,210.11021400,-50.66948100
DES0738+2543,114.67797300,25.71663000
DES1550-0041,237.70170700,-0.69725900
DES1540-1332,235.16344000,-13.54725900
DES1442-3415,220.73413600,-34.25003700
DES1259+2917,194.92826200,29.28607400
DES1055-3249,163.90566800,-32.82225900
DES1429-0250,217.34609100,-2.83892600
DES0836-1958,129.19898900,-19.97225900
DES0753+2751,118.48250100,27.85829600
DES1434-0207,218.61160500,-2.12503700
DES1315-1458,198.77059800,-14.97503700
DES1010-1749,152.72147200,-17.83059300
DES1333+1209,203.45039800,12.15274100
DES0927+1000,141.90205600,10.01107400
DES1150-3623,177.50481000,-36.39170400
DES1242-4914,190.55264600,-49.24170400
DES0846+1626,131.59257800,16.43607400
DES0904-1624,136.02050800,-16.40281500
DES0911+0126,137.80416900,1.44440700
DES1327-2041,201.92008600,-20.68614800
DES1504-0333,226.13967000,-3.55281500
DES0810+2043,122.60486300,20.71940700
DES0856-0750,134.06789100,-7.83614800
DES1623+2625,245.84573800,26.43051900
DES1605+0418,241.45229000,4.29996300
DES0930-3249,142.66798700,-32.82225900
DES1101-3415,165.46017600,-34.25003700
DES1050+1334,162.50052300,13.58051900
DES1455-0833,223.97831200,-8.55003700
DES1530-0915,232.53879900,-9.26392600
DES1104-2706,166.02923500,-27.11114800
DES1116-2706,169.23727600,-27.11114800
DES1054-3540,163.71126000,-35.67781500
DES1133-4457,173.26768800,-44.95837000
DES0849+0543,132.39375200,5.72774100
DES1052-2458,163.06049700,-24.96948100
DES1029-3040,157.38304000,-30.68059300
DES1333-3457,203.33850000,-34.96392600
DES0914+2208,138.51947400,22.14718500
DES1551-3040,237.90068000,-30.68059300
DES1306-4331,196.61412200,-43.53059300
DES1325-4957,201.27389900,-49.95559300
DES1333-2832,203.48332300,-28.53892600
DES1005-1332,151.45099100,-13.54725900
DES1317+2543,199.46185700,25.71663000
DES1450-2915,222.65705000,-29.25281500
DES1612-3415,243.18918300,-34.25003700
DES0753+1751,118.26368800,17.86385200
DES1429-3457,217.27631000,-34.96392600
DES1215+0752,183.81209800,7.86940700
DES1035+2834,158.86592800,28.57218500
DES1215-1332,183.76105900,-13.54725900
DES1313-2332,198.44692100,-23.54170400
DES1405-0416,211.37140500,-4.26670400
